"","logFC","logCPM","LR","PValue","FDR"
"PITA_35549",5.5647984235146,0.240299006466869,26.7175702881962,2.35470596306521e-07,4.747561813439e-05
"PITA_30524",5.02347049133211,0.458575986716922,26.5612110272315,2.55318777484787e-07,5.10814314123218e-05
"PITA_47065",3.43800605473967,2.92332903233885,26.5426247353283,2.57786980329645e-07,5.11815387129293e-05
"PITA_13788",3.23201625769135,6.45758891306739,26.4887760690819,2.65073773523724e-07,5.22295740574131e-05
"PITA_04101",2.67393871300727,3.23065390060457,26.4299433389506,2.73271234443808e-07,5.3439936365782e-05
"PITA_02618",2.62208209596069,2.69124780370831,26.3187814784898,2.89460056114453e-07,5.61833328319463e-05
"PITA_30206",3.26944215496002,2.13059871512665,26.1487673262587,3.16098834910871e-07,6.08993673866433e-05
"PITA_19250",2.43137478586056,3.98098906122104,25.8862309047372,3.62143128564727e-07,6.92572105208822e-05
"PITA_33906",1.8607115515328,6.056843987732,25.5859757474729,4.23103360856147e-07,8.03247833029747e-05
"PITA_43247",2.629267696044,3.01210918191497,25.5660808116062,4.27488405517774e-07,8.05691734718246e-05
"PITA_32221",4.75652955507561,3.19068766688813,25.5244475816216,4.36812782502497e-07,8.17342709360248e-05
"PITA_13694",4.36326651550789,4.46806761919563,25.4107305084012,4.63333696793732e-07,8.60774722850584e-05
"PITA_03936",3.92176339632534,1.69205807201714,25.3661240306785,4.74172289993744e-07,8.7466291421612e-05
"PITA_20841",4.77601022252021,3.09086596187196,25.3461379366029,4.79110670772208e-07,8.7754855183904e-05
"PITA_28566",4.27377483170508,0.851569437226109,25.1867124889607,5.20395063751296e-07,9.33445187110859e-05
"PITA_38641",4.48262166717815,1.06973744879217,24.9077885999491,6.01389665038284e-07,0.000107133861630005
"PITA_31896",3.06597859540582,3.08973826016059,24.8700603544549,6.13275215979716e-07,0.000108507993825962
"PITA_45350",4.40401567850121,1.99175019042205,24.8145993419798,6.31176056158636e-07,0.000110920662463716
"PITA_43456",5.02983171620451,3.10832823965067,24.702297967319,6.69043548674614e-07,0.000116786266157571
"PITA_26310",3.32830610733259,3.10723293192274,24.4711788340173,7.54297707183592e-07,0.000130790193774254
"PITA_34684",2.17264000761811,6.89920140771362,24.4435128929304,7.65207322542572e-07,0.000131047881058544
"PITA_02206",1.8706741223159,5.23380445513004,24.4418678790862,7.65860968160971e-07,0.000131047881058544
"PITA_22324",3.71110299738679,3.04251199562232,24.2551774958703,8.43799566468196e-07,0.000143440411269747
"PITA_33791",4.54615147531898,0.866677204075895,24.2066149890086,8.6534552220775e-07,0.000146147868098061
"PITA_35391",1.59930834805776,6.48234809303742,24.1461946080059,8.92924364654262e-07,0.000149832708388985
"PITA_20002",3.71031327887828,1.37143310952286,24.0331786991907,9.4689878115268e-07,0.000157871092301282
"PITA_16466",4.25063665282157,2.16436717162076,24.0030318091344,9.61841251321069e-07,0.000159340949717259
"PITA_08442",1.55202350098666,5.53559201718233,23.9534685391895,9.86923270946232e-07,0.000162461312367345
"PITA_41099",3.76087088754492,3.0789873205812,23.9139303262475,1.00740153261296e-06,0.000164789348815915
"PITA_41039",2.58727483210269,4.66199143668595,23.470620872992,1.26835905670324e-06,0.000206179691911217
"PITA_10820",2.64838137828758,4.83703699842711,23.38666845457,1.32493592789799e-06,0.000214038872973285
"PITA_25296",3.07492836376875,6.04027439908993,23.2969607096746,1.38819193689574e-06,0.000222873358560008
